task_id,item_id,text_label,label_human,bucket,specialty,rate,is_duplicate,label_human_note,rater_id
task01_00000,sent_002350,برای بعضی بیماران وقت می‌گذاشتند و از پشت در مطب می‌شنیدم که یک مطلب را چند بار برای بیمار تکرار می‌کردند ولی من که وارد مطب شدم وقت چندانی نگذاشتند و با عجله و نسبتا بی‌حوصلگی برخورد کردند و جواب‌های تند و سرسری دادند,-1,high_neg,فلوشیپ جراحی ستون فقرات,2.5,0,,
task01_00001,sent_007920,درد شدید کمر,0,topup_pref,جراح مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00002,sent_003077,ناشناوای تلفن,0,service_neg,جراح گوش و حلق و بینی,2.5,0,,
task01_00003,sent_007182,در دست اقدام می‌باشد,0,rate_neg,متخصص پوست و مو,2.5,0,,
task01_00004,sent_004977,فعلا یکبار ویزیت شدم,0,service_neg,فلوشیپ جراحی شانه و آرنج,2.5,0,,
task01_00005,sent_000884,دکتر خووب,1,rate_neg,فلوشیپ نازایی,2.5,0,,
task01_00006,sent_002196,فعلا درحالت معالجه,0,rate_neg,"جراح ارتوپد و فلوشیپ جراحی دست-شانه ،ارنج",2.5,0,,
task01_00007,sent_003116,خوب مت,1,rate_neg,متخصص پوست و مو,2.5,0,,
task01_00008,sent_005995,یک نوبت ویزیت شده‌ام,0,service_neg,جراح کلیه مجاری ادراری پروستات و ناباروری,2.5,0,,
task01_00009,sent_005287,پزشک خوبی هستند ولی من درمانم رو کامل نکردم,1,rate_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00010,sent_000841,بیماری نسبتا کنترل شده,0,rate_neg,متخصص بیماری های پوست و مو,2.5,0,,
task01_00011,sent_005950,نوبت دوم دکتر خوبی‌ان شا الله ک حامله بشم ده سال سابقه نازای دارم,1,service_neg,"جراح زنان ، زایمان",2.5,0,,
task01_00012,sent_002234,برای درمان آکنه مراجعه کردم از نظر برخورد و اخلاق خانم دکتر و تشخیص رضایت دارم ولی برنامه کارشون در کلینیک بهار اصلا مناسب نیست و برای وقت مراجعین ارزشی قائل نیستن بیش از ظرفیت کاری پزشک پذیرش میکنن و ساعات ویزیت و جراحی از هم تفکیک نشده برای یه ویزیت ساده و نشون دادن جواب آزمایش بیش از 2 ساعت معطلی داره,-1,high_neg,"متخصص پوست و مو و زیبایی ، لیزر",2.5,0,,
task01_00013,sent_002443,کمرد و ستون فقرات,0,rate_neg,جراح مغز و اعصاب و ستون فقرات,2.5,0,,
