task_id,item_id,text_label,label_human,bucket,specialty,rate,is_duplicate,label_human_note,rater_id,label_human_int
task01_00061,sent_000017,فعلا باید عک,0.0,topup_pref,جراح مغز و فلوشیپ دیسک و ستون فقرات,2.5,0,,,0.0
task01_00251,sent_000063,عمل تعویض مفصل زانو برای مادرم انجام دادن و بسیار عالی بود ایشون هم از نظر کاری هم شخصیتی بینهایت حرفه‌ای و بی‌نظیر هستن و کاش همه‌ی دکترای ما اینقد دلسوز و متعهد و شریف بودن,1.0,mixed,جراح و متخصص ارتوپدی,5.0,0,,,1.0
task01_00179,sent_000079,سرگیجه داشتم که الان برطرف شده,0.0,random,متخصص گوش و حلق و بینی,5.0,0,,,0.0
task01_00191,sent_000117,با حوصله معاینه می‌کنند فعلا در مرحله تشخیص آزمایشهای تخصصی نوشتند,1.0,rate_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,1.0
task01_00192,sent_000158,سلام نوبت دهی خوب بود و منشی هم خیلی خوش‌برخورد ولی از رفتار و گفتار خود دکتر اصلا راضی نبودم,-1.0,service_neg,متخصص جراحی مغز و اعصاب,5.0,0,,,-1.0
task01_00161,sent_000199,بسیار با دقت و با حوصله ویزیت کردن و روند درمان روتوضیح دادن,1.0,topup_pref,متخصص گوش و حلق و بینی,5.0,0,,,1.0
task01_00825,sent_000215,با سلام همسرم بیماری کره هانتینکتون داره حالا خیلی بدتر شده ونمیدانم چاره چیسن,-1.0,high_neg,متخصص مغز و اعصاب و ستون فقرات,5.0,0,,,-1.0
task01_00187,sent_000233,دکتر خوش برخوردی هست یک‌بار فعلا خدمتش رفتم نوبت بعدی هم دارم,0.0,service_neg,جراح و متخصص زنان و زایمان - فلوشیپ نازایی,2.5,0,,,0.0
task01_00097,sent_000241,در حال حاضر تحت درمانم,0.0,topup_pref,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,0.0
task01_00568,sent_000242,بخاطر‌ام اس مراجعه می‌کنم پیششون بسیارخوش اخلاق و مهربونن البته کاش انقد ویزیت مطب رو گرون نکنن درکل خیلی دکتر خوبین,1.0,high_neg,متخصص مغز و اعصاب ( نورولوژی ),2.5,0,,,1.0
task01_00302,sent_000255,تاندوم دستم مشکل داشته,0.0,topup_pref,متخصص ارتوپدی - جراح استخوان و مفاصل و ستون فقرات,2.5,0,,,0.0
task01_00075,sent_000267,چکاو و سنجش گوش,0.0,rate_neg,جراح گوش ، حلق و بینی,2.5,0,,,0.0
task01_00044,sent_000268,من راضی نبودم,-1.0,high_neg,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,,,-1.0
task01_00234,sent_000278,مشکل درد گردن داشتم و فعلا با اولین ویزیت اوضاع بهتری دارم,0.0,topup_pref,متخصص ارتوپدی و جراح ستون فقرات,5.0,0,,,0.0
task01_00481,sent_000281,پسوریازیس هنوزنتیجه نگرفتم,0.0,high_neg,متخصص پوست و مو ، لیزر,2.5,0,,,0.0
