doctor_id,label,rate,text_step04,tok_all,tok_nostop,tok_all_count,tok_nostop_count
131615,1,5.0,پزشک حاذقی هستند ولی نوبت دهی مناسب نیست نوبت ساعت 5 وربع گرفتم ولی 10 از مطب خارج شدم,پزشک حاذقی هستند ولی نوبت دهی مناسب نیست نوبت ساعت وربع گرفتم ولی 10 از مطب خارج شدم,پزشک حاذقی نوبت دهی نیست نوبت ساعت وربع گرفتم 10 مطب خارج شدم,18,13
266926,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
322898,1,5.0,در حال درمان هستم رفتار و منش ایشان عالی است,در حال درمان هستم رفتار منش ایشان عالی است,درمان هستم رفتار منش,9,4
313469,1,5.0,مهارت بسیار خوبی در تشخیص دارند,مهارت بسیار خوبی در تشخیص دارند,مهارت تشخیص,6,2
239856,1,5.0,درد گردن,درد گردن,درد گردن,2,2
219108,1,5.0,عدم نزول بیضه عمل شد عالی,عدم نزول بیضه عمل شد عالی,نزول بیضه عمل,6,3
340693,1,5.0,بسیار دکتر با اخلاق و حاذقی هستن,بسیار دکتر با اخلاق حاذقی هستن,دکتر اخلاق حاذقی هستن,6,4
121861,1,5.0,در حال درمان,در حال درمان,درمان,3,1
239090,1,5.0,در حال درمان تجویز داروی تاثیر گذار و مناسب,در حال درمان تجویز داروی تاثیر گذار مناسب,درمان تجویز داروی تاثیر گذار,8,5
109440,1,5.0,فوق‌العاده هستن,فوق‌العاده هستن,فوق‌العاده هستن,2,2
105831,1,5.0,پدرم سرطان حنجره داشت حدود 12 بار لیزر شد بدون سوراخ کردن گلو پدرم را درمان کرد,پدرم سرطان حنجره داشت حدود 12 بار لیزر شد بدون سوراخ کردن گلو پدرم را درمان کرد,پدرم سرطان حنجره 12 لیزر بدون سوراخ گلو پدرم درمان,17,10
116613,1,5.0,راضی بوذ,راضی بوذ,راضی بوذ,2,2
230867,1,5.0,ویزیت شدم انگشتام خواب می‌رفت دکتر تشخیص دادن مچ دستم جراحی باید بشه,ویزیت شدم انگشتام خواب می‌رفت دکتر تشخیص دادن مچ دستم جراحی باید بشه,ویزیت شدم انگشتام خواب می‌رفت دکتر تشخیص مچ دستم جراحی بشه,13,11
219073,1,5.0,سلام ربات زانوی وام قطع‌شده وایشان عملش کردن ب حمدالله عمل خوبی بود و بنده کاملآ راضی هستم خدا حفضش کنه,سلام ربات زانوی وام قطع‌شده وایشان عملش کردن حمدالله عمل خوبی بود بنده کاملآ راضی هستم خدا حفضش کنه,سلام ربات زانوی وام قطع‌شده وایشان عملش حمدالله عمل بنده کاملآ راضی هستم خدا حفضش کنه,19,16
314083,1,5.0,عالی هستند,عالی هستند,,2,0
311174,1,5.0,سنگ کلیه,سنگ کلیه,سنگ کلیه,2,2
277071,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
