item_id,doctor_id,specialty,rate,label,bucket,neg_score,neg_score_kw,neg_score_rate,neg_hits,pos_score,pos_score_kw,pos_score_rate,pos_hits,has_service_term,has_service_neg_cue,n_words,n_chars,text_label,text_for_tfidf,label_human,label_human_note,rater_id,label_llm,llm_confidence,llm_rationale_short,src_row_id,label_human_int,label_weak,weak_confidence,weak_reason,label_final
sent_000017,213003,جراح مغز و فلوشیپ دیسک و ستون فقرات,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,12,فعلا باید عک,فعلا عک,,,,,,,27245,0.0,0,0.75,informational,0.0
sent_000063,337323,جراح و متخصص ارتوپدی,5.0,1,mixed,1.6,1.6,0.0,disappointed_soft,3.4,2.5,0.9,strong_positive,0,0,36,174,عمل تعویض مفصل زانو برای مادرم انجام دادن و بسیار عالی بود ایشون هم از نظر کاری هم شخصیتی بینهایت حرفه ای و بی نظیر هستن و کاش همه ی دکترای ما اینقد دلسوز و متعهد و شریف بودن,عمل تعویض مفصل زانو مادرم انجام ایشون کاری شخصیتی بینهایت حرفه‌ای بی‌نظیر هستن کاش همه‌ی دکترای اینقد دلسوز متعهد شریف,,,,,,,65523,1.0,0,0.45,default_neu,1.0
sent_000079,197495,متخصص گوش و حلق و بینی,5.0,1,random,0.0,0.0,0.0,,0.9,0.0,0.9,,0,0,6,30,سرگیجه داشتم که الان برطرف شده,سرگیجه داشتم الان برطرف,,,,,,,23454,0.0,0,0.45,default_neu,0.0
sent_000117,231537,متخصص مغز و اعصاب و ستون فقرات,2.5,0,rate_neg,1.6,0.0,1.6,,1.0,1.0,0.0,kind,0,0,11,66,با حوصله معاینه می کنند فعلا در مرحله تشخیص آزمایشهای تخصصی نوشتند,حوصله معاینه فعلا مرحله تشخیص آزمایشهای تخصصی نوشتند,,,,,,,33866,1.0,0,0.45,default_neu,1.0
sent_000158,294781,متخصص جراحی مغز و اعصاب,5.0,1,service_neg,1.6,1.6,0.0,disappointed_soft,0.9,0.0,0.9,,1,1,20,93,سلام نوبت دهی خوب بود و منشی هم خیلی خوش برخورد ولی از رفتار و گفتار خود دکتر اصلا راضی نبودم,سلام نوبت دهی منشی خوش‌برخورد رفتار گفتار دکتر اصلا راضی نبودم,,,,,,,50007,-1.0,-1,0.7,neg_service,-1.0
sent_000199,320000,متخصص گوش و حلق و بینی,5.0,1,topup_pref,0.0,0.0,0.0,,1.9,1.0,0.9,kind,1,0,13,60,بسیار با دقت و با حوصله ویزیت کردن و روند درمان روتوضیح دادن,دقت حوصله ویزیت درمان روتوضیح,,,,,,,57380,1.0,0,0.45,default_neu,1.0
sent_000215,106705,متخصص مغز و اعصاب و ستون فقرات,5.0,1,high_neg,2.6,2.6,0.0,strong_negative,0.9,0.0,0.9,,0,0,14,78,با سلام همسرم بیماری کره هانتینکتون داره حالا خیلی بدتر شده ونمیدانم چاره چیسن,سلام همسرم بیماری کره هانتینکتون داره بدتر ونمیدانم چاره چیسن,,,,,,,3123,-1.0,-1,0.9119999999999999,neg_kw,-1.0
sent_000233,214346,جراح و متخصص زنان و زایمان - فلوشیپ نازایی,2.5,0,service_neg,1.6,0.0,1.6,,1.0,1.0,0.0,kind,1,0,12,61,دکتر خوش برخوردی هست یک بار فعلا خدمتش رفتم نوبت بعدی هم دارم,دکتر خوش برخوردی هست یک‌بار فعلا خدمتش رفتم نوبت بعدی دارم,,,,,,,28123,0.0,0,0.45,default_neu,0.0
sent_000241,123948,متخصص مغز و اعصاب و ستون فقرات,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,5,22,در حال حاضر تحت درمانم,حاضر درمانم,,,,,,,14064,0.0,0,0.45,default_neu,0.0
sent_000242,197479,متخصص مغز و اعصاب ( نورولوژی ),2.5,0,high_neg,4.6,3.0,1.6,money|disappointed_soft,0.0,0.0,0.0,,1,0,21,116,بخاطر ام اس مراجعه می کنم پیششون بسیارخوش اخلاق و مهربونن البته کاش انقد ویزیت مطب رو گرون نکنن درکل خیلی دکتر خوبین,بخاطر‌ام اس مراجعه پیششون بسیارخوش اخلاق مهربونن کاش انقد ویزیت مطب گرون نکنن درکل دکتر خوبین,,,,,,,23365,1.0,-1,0.95,neg_kw,1.0
sent_000255,238052,متخصص ارتوپدی - جراح استخوان و مفاصل و ستون فقرات,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,22,تاندوم دستم مشکل داشته,تاندوم دستم مشکل,,,,,,,35973,0.0,0,0.45,default_neu,0.0
sent_000267,120963,جراح گوش ، حلق و بینی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,15,چکاو و سنجش گوش,چکاو سنجش گوش,,,,,,,12719,0.0,0,0.45,default_neu,0.0
sent_000268,261017,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,high_neg,3.2,1.6,1.6,disappointed_soft,0.0,0.0,0.0,,0,0,3,13,من راضی نبودم,راضی نبودم,,,,,,,43071,-1.0,-1,0.792,neg_kw,-1.0
sent_000278,130755,متخصص ارتوپدی و جراح ستون فقرات,5.0,1,topup_pref,0.0,0.0,0.0,,0.9,0.0,0.9,,1,0,12,58,مشکل درد گردن داشتم و فعلا با اولین ویزیت اوضاع بهتری دارم,مشکل درد گردن داشتم فعلا ویزیت اوضاع بهتری دارم,,,,,,,19071,0.0,0,0.45,default_neu,0.0
sent_000281,125415,متخصص پوست و مو ، لیزر,2.5,0,high_neg,3.6,2.0,1.6,no_improve,0.0,0.0,0.0,,0,0,3,26,پسوریازیس هنوزنتیجه نگرفتم,پسوریازیس هنوزنتیجه نگرفتم,,,,,,,14668,0.0,-1,0.84,neg_kw,0.0
sent_000301,3216,جراح و متخصص استخوان و مفاصل (ارتوپد),2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,1.0,1.0,0.0,kind,1,0,22,102,معطلی زیاد داشتیم درحد 4 ساعت ولی برخورد دکتر با حوصله و دقت و تشخیص بالا بود پسرم الان تحت درمان هستش,معطلی داشتیم درحد ساعت برخورد دکتر حوصله دقت تشخیص پسرم الان درمان هستش,,,,,,,58482,1.0,0,0.45,default_neu,1.0
sent_000337,217774,متخصص جراحی استخوان و مفاصل ارتوپدی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,17,درد عصبی و ارتورز,درد عصبی ارتورز,,,,,,,28265,0.0,0,0.45,default_neu,0.0
sent_000356,319012,متخصص گوش حلق و بینی,5.0,1,high_pos,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,0,0,10,53,خیلی خوبه عالی همیشه براش دعا می کنیم خانم طالبی هستم,خوبه براش دعا خانم طالبی هستم,,,,,,,56767,1.0,1,0.8999999999999999,pos_kw,1.0
sent_000365,281603,متخصص گوش و حلق و بینی و جراحی سر و گردن,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,6,31,دخترم لوزه سوم داشت زیرنظرش بود,دخترم لوزه زیرنظرش,,,,,,,46713,0.0,0,0.45,default_neu,0.0
sent_000380,197479,متخصص مغز و اعصاب ( نورولوژی ),2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,8,نسبتا خو,نسبتا خو,,,,,,,23393,0.0,0,0.75,informational,0.0
sent_000384,127839,متخصص و جراح زنان و زایمان ، نازایی - دارای بورد تخصصی,5.0,1,topup_pref,0.0,0.0,0.0,,1.9,1.0,0.9,kind,1,0,25,122,بسیار خانم دکتر مهربون و با دقت بهت گوش میده و استرس نمیده من مطب تهرانپارس ویزیت شدم منشی بسیار مهربان و با مسئولیتی دارن,خانم دکتر مهربون دقت بهت گوش میده استرس نمیده مطب تهرانپارس ویزیت شدم منشی مهربان مسئولیتی دارن,,,,,,,16711,1.0,0,0.45,default_neu,1.0
sent_000394,234392,متخصص پوست و مو ، زیبایی و لیزر,5.0,1,mixed,1.8,1.8,0.0,long_wait,2.7,1.8,0.9,improved,1,0,30,136,من دچار اگزما ناحیه لب شده بودم سه ماه درگیرش بودم با یه پماد یک روزه درمان شدم فقط اونروز مطب خیلی شلوغ بود و سر نوبتم نتونستم برم داخل,اگزما ناحیه لب شده_بودم ماه درگیرش بودم یه پماد روزه درمان شدم اونروز مطب شلوغ سر نوبتم نتونستم برم داخل,,,,,,,34536,1.0,0,0.55,mixed,1.0
sent_000402,113444,متخصص زنان زایمان,2.5,0,high_neg,3.0,1.4,1.6,money,0.0,0.0,0.0,,1,0,8,43,خیلی خوب بود ولی بسیار ویزیت بالایی می گرفت,ویزیت بالایی می‌گرفت,,,,,,,8197,1.0,-1,0.768,neg_kw,1.0
sent_000420,131273,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,0,0,4,19,منتظر جلسه دوم هستم,منتظر جلسه هستم,,,,,,,19850,0.0,-1,0.816,neg_kw,0.0
sent_000423,277765,متخصص گوش حلق بینی و جراحی سر و گردن,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,9,سکته گوشز,سکته گوشز,,,,,,,45648,0.0,0,0.75,informational,0.0
