doctor_id,comments_used,doc_token_len_est,top_terms,top_terms_scored
100246,122,455,پوسته | جوش | پوسته پوسته | رفع تشخیص | جوش صورت | خارش بدن | پوست | ریزش | شدم جوش | خارش | صورتم | ریزش مو | مو | صورت | سرعت,پوسته:0.1141 | جوش:0.0973 | پوسته پوسته:0.0942 | رفع تشخیص:0.0942 | جوش صورت:0.0925 | خارش بدن:0.0915 | پوست:0.0908 | ریزش:0.0871 | شدم جوش:0.0854 | خارش:0.0834 | صورتم:0.0830 | ریزش مو:0.0812 | مو:0.0799 | صورت:0.0790 | سرعت:0.0785
100332,144,737,فاتح | زانو | وارتروز | پارگی مینیسک | ارتروسکوپی شانه | شانه | مینیسک زانو | ارتروسکوپی | acl | درد شانه | می‌توانم | شانه داشتم | ویتامین | مینیسک | پارگی,فاتح:0.1022 | زانو:0.0806 | وارتروز:0.0786 | پارگی مینیسک:0.0765 | ارتروسکوپی شانه:0.0712 | شانه:0.0703 | مینیسک زانو:0.0701 | ارتروسکوپی:0.0694 | acl:0.0686 | درد شانه:0.0682 | می‌توانم:0.0665 | شانه داشتم:0.0654 | ویتامین:0.0652 | مینیسک:0.0647 | پارگی:0.0631
102091,247,1230,اصفهانی | آکنه جوش | دکتر اصفهانی | ریزش | سکه‌ای درمان | میشه سلام | ریزش سکه‌ای | ریزش مو | سکه‌ای | پوستی | جوش | مو | آکنه | پوست | مژه,اصفهانی:0.1053 | آکنه جوش:0.1053 | دکتر اصفهانی:0.0900 | ریزش:0.0776 | سکه‌ای درمان:0.0755 | میشه سلام:0.0755 | ریزش سکه‌ای:0.0746 | ریزش مو:0.0717 | سکه‌ای:0.0713 | پوستی:0.0694 | جوش:0.0689 | مو:0.0676 | آکنه:0.0668 | پوست:0.0646 | مژه:0.0639
102727,233,997,ناباروری | باردار شدم | باردار | انتقال | دوقلو باردار | میفرستن داخل | ناباروری داشتم | نازایی | میفرستن | نشون میده | دلسوز دقت | بارداری | پریود | یو‌ای | دکتری عمرم,ناباروری:0.0754 | باردار شدم:0.0753 | باردار:0.0743 | انتقال:0.0738 | دوقلو باردار:0.0727 | میفرستن داخل:0.0727 | ناباروری داشتم:0.0712 | نازایی:0.0698 | میفرستن:0.0667 | نشون میده:0.0667 | دلسوز دقت:0.0667 | بارداری:0.0660 | پریود:0.0628 | یو‌ای:0.0627 | دکتری عمرم:0.0627
103130,228,1036,سلام دستم | دستم دکتر | دکتر مسعود | شبکه | بریدگی | مسعود | جراحی دست | مشکل دست | دست چپ | انگشت | دستم | پارگی تاندوم | پیوند | انگشت دست | شصت,سلام دستم:0.0978 | دستم دکتر:0.0897 | دکتر مسعود:0.0860 | شبکه:0.0860 | بریدگی:0.0820 | مسعود:0.0820 | جراحی دست:0.0819 | مشکل دست:0.0817 | دست چپ:0.0814 | انگشت:0.0780 | دستم:0.0780 | پارگی تاندوم:0.0773 | پیوند:0.0739 | انگشت دست:0.0724 | شصت:0.0724
103641,228,1018,براتی | دکتر براتی | عمل گوش | دکتربراتی | کلستاتوم | اسپری | گوش میانی | برند | میانی | مادرم سرگیجه | گوش بنده | گوشهایم | توانمند خوش‌اخلاق | شنوایی | بیماری منیر,براتی:0.0994 | دکتر براتی:0.0994 | عمل گوش:0.0936 | دکتربراتی:0.0874 | کلستاتوم:0.0834 | اسپری:0.0802 | گوش میانی:0.0725 | برند:0.0705 | میانی:0.0702 | مادرم سرگیجه:0.0673 | گوش بنده:0.0673 | گوشهایم:0.0673 | توانمند خوش‌اخلاق:0.0673 | شنوایی:0.0655 | بیماری منیر:0.0647
103646,145,740,دکتر سینا | بیضه | سینا | عمل بیضه | برگشت ادرار | مشکلی نداره | مجرای | ختنه | نزول بیضه | بیضه هاش | مشکل نداره | ادرار | نزول | بیضه دکتر | فرزندم مشکل,دکتر سینا:0.1195 | بیضه:0.1102 | سینا:0.1055 | عمل بیضه:0.1008 | برگشت ادرار:0.1008 | مشکلی نداره:0.0890 | مجرای:0.0870 | ختنه:0.0848 | نزول بیضه:0.0813 | بیضه هاش:0.0813 | مشکل نداره:0.0813 | ادرار:0.0785 | نزول:0.0746 | بیضه دکتر:0.0746 | فرزندم مشکل:0.0746
103670,62,216,جراحی بینی | بینی | بینی انجام | زیبایی بینی | گوش‌درد | جراحی لوزه | سینوزیت واقعا | دیر نوبت | عفونت پزشک | سرگیجه سر | ساده عالی | واخلاق دارن | عمل دوتا | خودم پیششون | خوب خدا,جراحی بینی:0.1322 | بینی:0.1261 | بینی انجام:0.1105 | زیبایی بینی:0.1077 | گوش‌درد:0.1044 | جراحی لوزه:0.1005 | سینوزیت واقعا:0.0911 | دیر نوبت:0.0911 | عفونت پزشک:0.0911 | سرگیجه سر:0.0911 | ساده عالی:0.0911 | واخلاق دارن:0.0911 | عمل دوتا:0.0911 | خودم پیششون:0.0911 | خوب خدا:0.0911
104548,243,893,تشنج | پسرم تشنج | دخترم تشنج | تشنج داره | اتیسم | تشنج دخترم | لکنت | اوتیسم | تشنج خدا | کنترل ممنون | تشنج بچه‌ام | تشنجش | فعالی پسرم | صرع | بچه‌ام,تشنج:0.1198 | پسرم تشنج:0.1197 | دخترم تشنج:0.1060 | تشنج داره:0.0915 | اتیسم:0.0881 | تشنج دخترم:0.0881 | لکنت:0.0852 | اوتیسم:0.0829 | تشنج خدا:0.0774 | کنترل ممنون:0.0774 | تشنج بچه‌ام:0.0774 | تشنجش:0.0738 | فعالی پسرم:0.0738 | صرع:0.0738 | بچه‌ام:0.0721
105471,186,797,شب‌ادراری | کلیه پسرم | کلیه | سنگ کلیه | سنگ | مشکل کلیه | ادرار | دخترم سنگ | صبور وبا | دخترم فعلا | پسرم مشکل | مشکل کلیوی | عفونت ادرار | کلیه دکتر | نگه,شب‌ادراری:0.0997 | کلیه پسرم:0.0987 | کلیه:0.0954 | سنگ کلیه:0.0794 | سنگ:0.0790 | مشکل کلیه:0.0765 | ادرار:0.0736 | دخترم سنگ:0.0731 | صبور وبا:0.0731 | دخترم فعلا:0.0731 | پسرم مشکل:0.0663 | مشکل کلیوی:0.0655 | عفونت ادرار:0.0655 | کلیه دکتر:0.0643 | نگه:0.0642
105599,76,401,دکتر جعفری | مراجعین | جراحی کمر | جعفری | مادر خانم | درمان کمردرد | کمر | کمردرد | دیسک | عمل کمر | میشن | عمل راضیم | کمر انجام | تازه پدرم | مشل,دکتر جعفری:0.1092 | مراجعین:0.1073 | جراحی کمر:0.1051 | جعفری:0.1051 | مادر خانم:0.1051 | درمان کمردرد:0.1017 | کمر:0.0899 | کمردرد:0.0845 | دیسک:0.0797 | عمل کمر:0.0795 | میشن:0.0777 | عمل راضیم:0.0777 | کمر انجام:0.0777 | تازه پدرم:0.0676 | مشل:0.0676
