doctor_id,label,rate,date,text_step01,text_step02,char_reduction,is_garbage
302141,1,5.0,۱۴۰۳/۱۱/۳۰,دکتر خوب و خوش اخلاق و حاذق,دکتر خوب و خوش اخلاق و حاذق,0,False
285094,1,5.0,۱۴۰۳/۰۳/۱۴,ریزش مو و جوش صورت,ریزش مو و جوش صورت,0,False
122973,1,5.0,۱۳۹۹/۱۱/۰۸,دکتر بسیار مهربان و دلسوزی هستند از درمانشان هم نتیجه گرفتم,دکتر بسیار مهربان و دلسوزی هستند از درمانشان هم نتیجه گرفتم,0,False
335504,1,5.0,۱۴۰۵/۰۲/۰۹,بهترین و مهربونترین دکتری که من تا الان دیدم واقعا همچین دکتری تا حالا ندیده بودم ایشون فرشته هستن اینقدر با انرژی مثبت و حوصله مراحل کار رو انجام میدن و به مریض روحیه میدن که شما وقتی پیششون میرید ذرهای استرس ندارید اینکه هم متخصص باشی دلسوز و مهربون هم باشی واقعا بینظیره من تحت نظر ایشون هستم و تا الان خیلی راضی ام خانم دکتر کیانا صادقی رو به همه پیشنهاد میکنم,بهترین و مهربونترین دکتری که من تا الان دیدم واقعا همچین دکتری تا حالا ندیده بودم ایشون فرشته هستن اینقدر با انرژی مثبت و حوصله مراحل کار رو انجام میدن و به مریض روحیه میدن که شما وقتی پیششون میرید ذرهای استرس ندارید اینکه هم متخصص باشی دلسوز و مهربون هم باشی واقعا بینظیره من تحت نظر ایشون هستم و تا الان خیلی راضی ام خانم دکتر کیانا صادقی رو به همه پیشنهاد میکنم,0,False
315198,-1,0.0,۱۴۰۴/۱۰/۱۳,عدم رضایت,عدم رضایت,0,False
299975,1,5.0,۱۴۰۴/۰۸/۲۷,سنگ کلیه داشتم و کاملا راضی هستم از طبابتشون,سنگ کلیه داشتم و کاملا راضی هستم از طبابتشون,0,False
113544,1,5.0,۱۴۰۴/۰۲/۰۱,سونو ان تی,سونو ان تی,0,False
110507,1,5.0,۱۴۰۰/۱۲/۰۹,عالیه خانوم دکتر هم مشکل زنان داشتم برطرف شدودوبارم باردارشدمباارزوی بهترینها براخانوم دکتر گل,عالیه خانوم دکتر هم مشکل زنان داشتم برطرف شدودوبارم باردارشدمباارزوی بهترینها براخانوم دکتر گل,0,False
262889,1,5.0,۱۴۰۴/۰۸/۱۲,مادر تشنج داشت,مادر تشنج داشت,0,False
232465,0,2.5,۱۴۰۱/۰۴/۳۰,عفونت درحال درمان همچنان,عفونت درحال درمان همچنان,0,False
219073,0,2.5,۱۳۹۹/۰۶/۲۶,مریض ایشان هستم و از طریق بازخوردهای مراجعین در همین سایت با ایشان آشنا شدم,مریض ایشان هستم و از طریق بازخوردهای مراجعین در همین سایت با ایشان آشنا شدم,0,False
110161,1,5.0,۱۴۰۲/۰۳/۳۱,عمل جراحی مفصل و مچ پا,عمل جراحی مفصل و مچ پا,0,False
220532,1,5.0,۱۴۰۴/۱۱/۲۵,سردرد داشتم هردکتری مراجعه کردم فایده ای نداشت اما دست این دکتر برام طلابود ممنون اززحماتشون,سردرد داشتم هردکتری مراجعه کردم فایده ای نداشت اما دست این دکتر برام طلابود ممنون اززحماتشون,0,False
319817,1,5.0,۱۴۰۴/۱۲/۰۹,خیلی خانم خوبی به حرف هام گوش دادند معاینه و تجویز دارو سپاس از خدمات,خیلی خانم خوبی به حرف هام گوش دادند معاینه و تجویز دارو سپاس از خدمات,0,False
110876,1,5.0,۱۴۰۲/۱۰/۱۱,درد کمر، مشاوره خیلی خوب بود,درد کمر مشاوره خیلی خوب بود,1,False
289583,1,5.0,۱۴۰۳/۰۹/۱۷,بسیار دکتر,بسیار دکتر,0,False
304097,-1,0.0,۱۴۰۳/۱۱/۱۱,عدم رضایت,عدم رضایت,0,False
219596,1,5.0,۱۴۰۳/۰۵/۲۳,بسیار عالی مهربون دلسوز کار بلد,بسیار عالی مهربون دلسوز کار بلد,0,False
280559,-1,0.0,۱۴۰۳/۰۸/۱۰,عدم رضایت,عدم رضایت,0,False
235783,0,2.5,۱۴۰۴/۰۷/۰۸,هعی خوب,هعی خوب,0,False
