doctor_id,label,rate,text_step03,text_step04,word_delta_03_to_04
319788,1,5.0,تعویض مفضل زانو,تعویض مفضل زانو,0
319788,0,2.5,دکتر خوبی هستن,دکتر خوبی هستن,0
229918,1,5.0,بسیار دکتر خوب و با حوصله‌ای بودند,بسیار دکتر خوب و با حوصله‌ای بودند,0
298923,0,2.5,معاینه انجام شد و در حال درمان فعلا برای نظر دادن زود هست ولی تمرکز داشتند روی کارشون,معاینه انجام شد و در حال درمان فعلا برای نظر دادن زود هست ولی تمرکز داشتند روی کارشون,0
333992,1,5.0,بسیار پزشک حاذق,بسیار پزشک حاذق,0
238168,1,5.0,تشخیص بسیار عالی,تشخیص بسیار عالی,0
290593,0,2.5,عالی هستن,عالی هستن,0
200998,1,5.0,بسیارعالی,بسیارعالی,0
311451,1,5.0,خیلی خوبه,خیلی خوبه,0
325722,1,5.0,عالی و متعهد,عالی و متعهد,0
180889,1,5.0,بسیار حاذق,بسیار حاذق,0
110876,1,5.0,سلام من مشکلم ابسه‌ی نخاعی گردنبود بیش از 15 دکتر رفتم نا امیدم کردن اما به لطف خدا و اقای دکتر عمل و درمان شدم انشالله همیشه سایش مستدام باشه ممنون از زحمات دکتر مهدی کرمی,سلام من مشکلم ابسه‌ی نخاعی گردنبود بیش از 15 دکتر رفتم نا امیدم کردن اما به لطف خدا و اقای دکتر عمل و درمان شدم انشالله همیشه سایش مستدام باشه ممنون از زحمات دکتر مهدی کرمی,0
219596,1,5.0,عالیی,عالیی,0
222252,1,5.0,ویزیت انجام دادم و دکتر خوب هستند,ویزیت انجام دادم و دکتر خوب هستند,0
125913,-1,0.0,عدم رضایت,عدم رضایت,0
276299,1,5.0,دکتر خوبیه,دکتر خوبیه,0
223561,1,5.0,با لیزر جای جوش قبلی بهتر شده و درمان را دارم ادامه میدم,با لیزر جای جوش قبلی بهتر شده و درمان را دارم ادامه میدم,0
125913,1,5.0,در تشخیص و درمان بیماری عالی هستند,در تشخیص و درمان بیماری عالی هستند,0
116613,1,5.0,تشخیص عالی,تشخیص عالی,0
299975,1,5.0,جراحی بی اختیاری ادرار عالی,جراحی بی اختیاری ادرار عالی,0
110876,1,5.0,عالی هستنند,عالی هستنند,0
314053,1,5.0,مشکل شنوایی داشتم پزشک متعهد خوش‌اخلاق و وظیفه‌شناسی هستند,مشکل شنوایی داشتم پزشک متعهد خوش‌اخلاق و وظیفه‌شناسی هستند,0
238352,1,5.0,بسیارخوش برخورد ومتخصص هستن,بسیارخوش برخورد ومتخصص هستن,0
284618,1,5.0,ریزش مو,ریزش مو,0
113544,1,5.0,دکترخوبیه ولی خیلی معطلی داره,دکترخوبیه ولی خیلی معطلی داره,0
229999,-1,0.0,عدم رضایت,عدم رضایت,0
332649,1,5.0,آقای دکتر در حین تواضع و ادب بسیاری که دارن بسیار بسیار باسواد و متبهر و زبردست هستن,آقای دکتر در حین تواضع و ادب بسیاری که دارن بسیار بسیار باسواد و متبهر و زبردست هستن,0
238666,1,5.0,ریزش موی سکه‌ای و مراقبت پوست,ریزش موی سکه‌ای و مراقبت پوست,0
220143,0,2.5,تحت درمانم,تحت درمانم,0
232465,1,5.0,دکتر میرپنجی فوق‌العاده دقیق مهربون و دلسوز هستن و برای بیمارشون خیلی وقت میذارن پیششون عمل سرکلاژ کردم از دکتر متشکرم,دکتر میرپنجی فوق‌العاده دقیق مهربون و دلسوز هستن و برای بیمارشون خیلی وقت میذارن پیششون عمل سرکلاژ کردم از دکتر متشکرم,0
239856,0,2.5,سر خوردگی مهره کمر دارم,سر خوردگی مهره کمر دارم,0
181690,1,5.0,بسیار دکتر مجرب و دانایی,بسیار دکتر مجرب و دانایی,0
